rail_id	run_accession	sample_accession	experiment_accession	study_accession	submission_accession	sra_ID	run_ID	run_alias	run_date	updated_date	spots	bases	run_center	experiment_name	run_attribute	experiment_ID	experiment_alias	experiment_title	study_name	sample_name	design_description	library_name	library_strategy	library_source	library_selection	library_layout	library_construction_protocol	read_spec	platform	instrument_model	platform_parameters	experiment_url_link	experiment_attribute	sample_ID	sample_alias	taxon_id	common_name	description	sample_url_link	sample_attribute	study_ID	study_alias	study_title	study_type	study_abstract	center_project_name	study_description	study_url_link	study_attribute	related_studies	primary_study	submission_ID	submission_comment	submission_center	submission_lab	submission_date	sradb_updated	layout	cell_type	tissue	cell_line	strain	age	disease	population	sex	source_name	project	sample	experiment	run	read_count_as_reported_by_sra	reads_downloaded	proportion_of_reads_reported_by_sra_downloaded	paired_end	sra_misreported_paired_end	mapped_read_count	auc	sharq_beta_tissue	sharq_beta_cell_type	biosample_submission_date	biosample_publication_date	biosample_update_date	avg_read_length	geo_accession	bigwig_file	title	characteristics	junction_count	junction_coverage	junction_avg_coverage
9	SRR1660310	SRS750202	SRX765925	SRP050146	SRA204208	2195112	1871130	GSM1552791_r1	NA	2014-11-24	80435209	16087041800	NA	GSM1552791	NA	1619875	GSM1552791	GSM1552791: SF3B1 mutated sample 3; Homo sapiens; RNA-Seq	GSE63569	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was extracted using Trizol reagent, DNase treated (Invitrogen) and purified using XP beads (Beckman Coulter). Purified DNase-treated total RNA (100ng) was processed using NEBNext Ultra directional mRNA Library prep (NEB) as per manufacturerÃ¢â‚¬â„¢s protocol for Illumina with two alterations: custom indexes were designed in-house and an additional purification step was performed using XP beads (Beckman Coulter) rather than size selection.	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	GEO Sample GSM1552791: http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1552791	GEO Accession: GSM1552791	1362473	GSM1552791	9606	NA	NA	NA	source_name: CD34+ cells, MDS, SF3B1 mutated || cell type: bone marrow CD34+ cells || disease status: myelodysplastic syndromes (MDS) || mds subtype: RCMD-RS || sf3b1 status: mutated	58098	GSE63569	RNA sequencing of bone marrow CD34+ cells from myelodysplastic syndrome patients with and without SF3B1 mutation and from healthy controls	Transcriptome Analysis	The splicing factor SF3B1 is the most commonly mutated gene in the myelodysplastic syndromes (MDS), particularly in patients with refractory anemia with ring sideroblasts (RARS). MDS is a disorder of the hematopoietic stem cell and we thus studied the transcriptome of CD34+ cells from MDS patients with SF3B1 mutations using RNA-sequencing. Genes significantly differentially expressed at the transcript and/or exon level in SF3B1 mutant compared to wildtype cases include genes involved in MDS pathogenesis (ASXL1, CBL), iron homeostasis and mitochondrial metabolism (ALAS2, ABCB7, SLC25A37) and RNA splicing/processing (PRPF8, HNRNPD). Many genes regulated by a DNA damage-induced BRCA1-BCLAF1-SF3B1 protein complex showed differential expression/splicing in SF3B1 mutant cases. Our data indicate that SF3B1 plays a critical role in MDS by affecting the expression and splicing of genes involved in specific cellular processes/pathways, many of which are relevant to the known RARS pathophysiology, suggesting a causal link. Overall design: RNA-Seq was performed to compare the transcriptome of bone marrow CD34+ cells from eight MDS patients with SF3B1 mutation, four MDS patients with no known splicing mutation and five healthy controls.	GSE63569	NA	NA	NA	NA	NA	435932	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	BONE MARROW CD34+ CELLS	NA	NA	NA	NA	NA	NA	NA	CD34+ CELLS, MDS, SF3B1 MUTATED	SRP050146	SRS750202	SRX765925	SRR1660310	160870418	160870418	1	TRUE	FALSE	153499188	14627263203	NA	NA	2014-11-21T19:45:50.160	2014-11-22T00:44:04.570	2014-11-22T01:40:33.270	200	GSM1552791	SRR1660310.bw	SF3B1 mutated sample 3	c("cell type: bone marrow CD34+ cells", "disease status: myelodysplastic syndromes (MDS)", "mds subtype: RCMD-RS", "sf3b1 status: mutated")	200002	19983611	99.9170558294417
525	SRR1660315	SRS750207	SRX765930	SRP050146	SRA204208	2195118	1871135	GSM1552796_r1	NA	2014-11-24	63801701	12760340200	NA	GSM1552796	NA	1619880	GSM1552796	GSM1552796: SF3B1 mutated sample 8; Homo sapiens; RNA-Seq	GSE63569	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was extracted using Trizol reagent, DNase treated (Invitrogen) and purified using XP beads (Beckman Coulter). Purified DNase-treated total RNA (100ng) was processed using NEBNext Ultra directional mRNA Library prep (NEB) as per manufacturerÃ¢â‚¬â„¢s protocol for Illumina with two alterations: custom indexes were designed in-house and an additional purification step was performed using XP beads (Beckman Coulter) rather than size selection.	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	GEO Sample GSM1552796: http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1552796	GEO Accession: GSM1552796	1362478	GSM1552796	9606	NA	NA	NA	source_name: CD34+ cells, MDS, SF3B1 mutated || cell type: bone marrow CD34+ cells || disease status: myelodysplastic syndromes (MDS) || mds subtype: RARS || sf3b1 status: mutated	58098	GSE63569	RNA sequencing of bone marrow CD34+ cells from myelodysplastic syndrome patients with and without SF3B1 mutation and from healthy controls	Transcriptome Analysis	The splicing factor SF3B1 is the most commonly mutated gene in the myelodysplastic syndromes (MDS), particularly in patients with refractory anemia with ring sideroblasts (RARS). MDS is a disorder of the hematopoietic stem cell and we thus studied the transcriptome of CD34+ cells from MDS patients with SF3B1 mutations using RNA-sequencing. Genes significantly differentially expressed at the transcript and/or exon level in SF3B1 mutant compared to wildtype cases include genes involved in MDS pathogenesis (ASXL1, CBL), iron homeostasis and mitochondrial metabolism (ALAS2, ABCB7, SLC25A37) and RNA splicing/processing (PRPF8, HNRNPD). Many genes regulated by a DNA damage-induced BRCA1-BCLAF1-SF3B1 protein complex showed differential expression/splicing in SF3B1 mutant cases. Our data indicate that SF3B1 plays a critical role in MDS by affecting the expression and splicing of genes involved in specific cellular processes/pathways, many of which are relevant to the known RARS pathophysiology, suggesting a causal link. Overall design: RNA-Seq was performed to compare the transcriptome of bone marrow CD34+ cells from eight MDS patients with SF3B1 mutation, four MDS patients with no known splicing mutation and five healthy controls.	GSE63569	NA	NA	NA	NA	NA	435932	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	BONE MARROW CD34+ CELLS	NA	NA	NA	NA	NA	NA	NA	CD34+ CELLS, MDS, SF3B1 MUTATED	SRP050146	SRS750207	SRX765930	SRR1660315	127603402	127603402	1	TRUE	FALSE	125868746	12398006546	NA	NA	2014-11-21T19:45:56.550	2014-11-22T00:44:04.600	2014-11-22T01:44:23.573	200	GSM1552796	SRR1660315.bw	SF3B1 mutated sample 8	c("cell type: bone marrow CD34+ cells", "disease status: myelodysplastic syndromes (MDS)", "mds subtype: RARS", "sf3b1 status: mutated")	258430	18292210	70.7820686452811
1035	SRR2313065	SRS1060828	SRX1210911	SRP063493	SRA296861	2557048	2225666	GSM1872053_r1	NA	2015-09-11	58900375	10602067500	NA	GSM1872053	NA	1944645	GSM1872053	GSM1872053: CLL290; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872053	1662798	GSM1872053	9606	NA	NA	NA	source_name: Bone Marrow || biomaterial_provider: Weill Cornell Medicine || disease state: CLL || sf3b1 mutation: G742D	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NA	NA	NA	NA	NA	NA	BONE MARROW	SRP063493	SRS1060828	SRX1210911	SRR2313065	117800750	117800750	1	TRUE	FALSE	117752584	10539638885	NA	NA	2015-09-08T12:05:15.000	2015-11-17T09:57:07.463	2015-11-17T10:01:06.650	180	GSM1872053	SRR2313065.bw	CLL290	c("disease state: CLL", "sf3b1 mutation: G742D")	300273	17363716	57.8264312808677
1073	SRR2313092	SRS1060801	SRX1210938	SRP063493	SRA296861	2557060	2225693	GSM1872080_r1	NA	2015-09-11	37321638	6717894840	NA	GSM1872080	NA	1944672	GSM1872080	GSM1872080: Nalm-6 WT #3; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872080	1662771	GSM1872080	9606	NA	NA	NA	source_name: B-cell precursor || biomaterial_provider: Horizon Discovery || cell line: Nalm-6	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NALM-6	NA	NA	NA	NA	NA	B-CELL PRECURSOR	SRP063493	SRS1060801	SRX1210938	SRR2313092	74643276	74643276	1	TRUE	FALSE	74630582	6684242197	NA	NA	2015-09-08T12:06:41.000	2015-09-09T01:25:30.377	2015-09-09T08:18:30.900	180	GSM1872080	SRR2313092.bw	Nalm-6 WT #3	cell line: Nalm-6	224794	13481648	59.9733444842834
1559	SRR2313099	SRS1060794	SRX1210945	SRP063493	SRA296861	2557063	2225700	GSM1872087_r1	NA	2015-09-11	41089147	7396046460	NA	GSM1872087	NA	1944679	GSM1872087	GSM1872087: Nalm-6 K700E + CHX #1; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872087	1662764	GSM1872087	9606	NA	NA	NA	source_name: B-cell precursor || biomaterial_provider: Horizon Discovery || cell line: Nalm-6 || sf3b1 mutation: K700E || treatment: CHX	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NALM-6	NA	NA	NA	NA	NA	B-CELL PRECURSOR	SRP063493	SRS1060794	SRX1210945	SRR2313099	82178294	82178294	1	TRUE	FALSE	81998454	7235674602	NA	NA	2015-09-08T12:06:48.000	2015-09-09T01:26:17.327	2015-09-09T08:18:32.870	180	GSM1872087	SRR2313099.bw	Nalm-6 K700E + CHX #1	c("cell line: Nalm-6", "sf3b1 mutation: K700E", "treatment: CHX")	252261	12239776	48.520286528635
1561	SRR2313124	SRS1060770	SRX1210970	SRP063493	SRA296861	2557069	2225725	GSM1872112_r1	NA	2015-09-11	40293140	7252765200	NA	GSM1872112	NA	1944704	GSM1872112	GSM1872112: BxPC3 #2; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872112	1662740	GSM1872112	9606	NA	NA	NA	source_name: Pancreas || biomaterial_provider: American Type Culture Collection || cell line: BxPC3	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	BXPC3	NA	NA	NA	NA	NA	PANCREAS	SRP063493	SRS1060770	SRX1210970	SRR2313124	80586280	80586280	1	TRUE	FALSE	80350942	7091508598	NA	NA	2015-09-08T12:07:15.000	2015-09-09T01:25:56.587	2015-09-09T08:18:41.490	180	GSM1872112	SRR2313124.bw	BxPC3 #2	cell line: BxPC3	221553	11716035	52.8814098658109
2528	SRR1660323	SRS750215	SRX765938	SRP050146	SRA204208	2195120	1871143	GSM1552804_r1	NA	2014-11-24	53606634	10721326800	NA	GSM1552804	NA	1619888	GSM1552804	GSM1552804: Healthy control sample 4; Homo sapiens; RNA-Seq	GSE63569	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was extracted using Trizol reagent, DNase treated (Invitrogen) and purified using XP beads (Beckman Coulter). Purified DNase-treated total RNA (100ng) was processed using NEBNext Ultra directional mRNA Library prep (NEB) as per manufacturerÃ¢â‚¬â„¢s protocol for Illumina with two alterations: custom indexes were designed in-house and an additional purification step was performed using XP beads (Beckman Coulter) rather than size selection.	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	GEO Sample GSM1552804: http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1552804	GEO Accession: GSM1552804	1362486	GSM1552804	9606	NA	NA	NA	source_name: CD34+ cells, healthy control || cell type: bone marrow CD34+ cells || disease status: healthy || mds subtype: N/A || sf3b1 status: N/A	58098	GSE63569	RNA sequencing of bone marrow CD34+ cells from myelodysplastic syndrome patients with and without SF3B1 mutation and from healthy controls	Transcriptome Analysis	The splicing factor SF3B1 is the most commonly mutated gene in the myelodysplastic syndromes (MDS), particularly in patients with refractory anemia with ring sideroblasts (RARS). MDS is a disorder of the hematopoietic stem cell and we thus studied the transcriptome of CD34+ cells from MDS patients with SF3B1 mutations using RNA-sequencing. Genes significantly differentially expressed at the transcript and/or exon level in SF3B1 mutant compared to wildtype cases include genes involved in MDS pathogenesis (ASXL1, CBL), iron homeostasis and mitochondrial metabolism (ALAS2, ABCB7, SLC25A37) and RNA splicing/processing (PRPF8, HNRNPD). Many genes regulated by a DNA damage-induced BRCA1-BCLAF1-SF3B1 protein complex showed differential expression/splicing in SF3B1 mutant cases. Our data indicate that SF3B1 plays a critical role in MDS by affecting the expression and splicing of genes involved in specific cellular processes/pathways, many of which are relevant to the known RARS pathophysiology, suggesting a causal link. Overall design: RNA-Seq was performed to compare the transcriptome of bone marrow CD34+ cells from eight MDS patients with SF3B1 mutation, four MDS patients with no known splicing mutation and five healthy controls.	GSE63569	NA	NA	NA	NA	NA	435932	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	BONE MARROW CD34+ CELLS	NA	NA	NA	NA	NA	NA	NA	CD34+ CELLS, HEALTHY CONTROL	SRP050146	SRS750215	SRX765938	SRR1660323	107213268	107213268	1	TRUE	FALSE	104228487	10114320130	NA	NA	2014-11-21T19:45:43.510	2014-11-22T00:44:04.540	2014-11-22T01:44:25.317	200	GSM1552804	SRR1660323.bw	Healthy control sample 4	c("cell type: bone marrow CD34+ cells", "disease status: healthy", "mds subtype: N/A", "sf3b1 status: N/A")	219712	13744619	62.5574342775998
3569	SRR2313127	SRS1060767	SRX1210973	SRP063493	SRA296861	2557082	2225728	GSM1872115_r1	NA	2015-09-11	39357418	7084335240	NA	GSM1872115	NA	1944707	GSM1872115	GSM1872115: HPAF-II #2; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872115	1662737	GSM1872115	9606	NA	NA	NA	source_name: Pancreas || biomaterial_provider: American Type Culture Collection || cell line: HPAF-II	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	HPAF-II	NA	NA	NA	NA	NA	PANCREAS	SRP063493	SRS1060767	SRX1210973	SRR2313127	78714836	78714836	1	TRUE	FALSE	78512798	6945433540	NA	NA	2015-09-08T12:07:20.000	2015-09-09T01:26:00.757	2015-09-09T08:18:42.000	180	GSM1872115	SRR2313127.bw	HPAF-II #2	cell line: HPAF-II	242149	11610778	47.9488992314649
3641	SRR2313080	SRS1060813	SRX1210926	SRP063493	SRA296861	2557079	2225681	GSM1872068_r1	NA	2015-09-11	25313287	3847619624	NA	GSM1872068	NA	1944660	GSM1872068	GSM1872068: 400P-R; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872068	1662783	GSM1872068	9606	NA	NA	NA	source_name: Bone Marrow || biomaterial_provider: MD Anderson Cancer Center || disease state: MDS || sf3b1 mutation: E622D	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NA	NA	NA	NA	NA	NA	BONE MARROW	SRP063493	SRS1060813	SRX1210926	SRR2313080	50626574	50626574	1	TRUE	FALSE	50361313	3818515862	NA	NA	2015-09-08T12:06:25.000	2015-09-09T01:25:13.217	2015-09-09T08:18:24.083	152	GSM1872068	SRR2313080.bw	400P-R	c("disease state: MDS", "sf3b1 mutation: E622D")	156431	7944573	50.7864361923148
4533	SRR2313107	SRS1060786	SRX1210953	SRP063493	SRA296861	2557094	2225708	GSM1872095_r1	NA	2015-09-11	61766640	11117995200	NA	GSM1872095	NA	1944687	GSM1872095	GSM1872095: Nalm-6 H662Q #3; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872095	1662756	GSM1872095	9606	NA	NA	NA	source_name: B-cell precursor || biomaterial_provider: Horizon Discovery || cell line: Nalm-6 || sf3b1 mutation: H662Q	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NALM-6	NA	NA	NA	NA	NA	B-CELL PRECURSOR	SRP063493	SRS1060786	SRX1210953	SRR2313107	123533280	123533280	1	TRUE	FALSE	123513722	11062672745	NA	NA	2015-09-08T12:06:57.000	2015-09-09T01:26:51.747	2015-09-09T08:18:34.480	180	GSM1872095	SRR2313107.bw	Nalm-6 H662Q #3	c("cell line: Nalm-6", "sf3b1 mutation: H662Q")	274108	22044216	80.4216440235236
