cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_1_-	Success	1.43278673483766	1	0.0904934510449747	0.45597915704227	NA
chr1:clu_10_-	Success	3.50941138268581	2	0.0299145174586181	0.320625946556101	NADK
chr1:clu_100_-	Success	1.45393558766591	3	0.406048825159843	0.712315963806905	CSF3R
chr1:clu_101_-	Success	2.18927278179763	8	0.821457673769328	0.918973007492767	CSF3R
chr1:clu_102_-	Success	1.11590464524443	3	0.525710139301901	0.77797958509015	CSF3R
chr1:clu_103_-	Success	0.432501714938866	1	0.352342294715768	0.681302936802608	CSF3R
chr1:clu_104_-	Success	0.00224917334415409	1	0.946526203411013	0.975529693787878	SNIP1
chr1:clu_105_-	Success	2.10478515733575	2	0.121871854730606	0.496587110839882	GNL2
chr1:clu_106_-	Success	5.38668122889112	2	0.00457713863219557	0.203799603331336	YRDC
chr1:clu_107_-	Success	0.406035320054343	2	0.666286633729172	0.841480013612411	SF3A3
chr1:clu_108_-	Not enough valid samples	NA	NA	NA	NA	PABPC4
chr1:clu_109_-	Success	0.195606078327387	2	0.822336106898535	0.919343581542273	PABPC4
chr1:clu_11_-	Success	3.79606792052846	4	0.107714451430441	0.476377788396433	NADK
chr1:clu_110_-	Success	0.53259505976348	2	0.587079484823236	0.806573166085977	PPT1
chr1:clu_111_-	Not enough valid samples	NA	NA	NA	NA	FOXJ3
chr1:clu_112_-	Success	3.03244159220321	2	0.0481978149373477	0.374901386543548	FOXJ3
chr1:clu_113_-	Success	1.16015936371153	1	0.127693859102827	0.5029079281975	ELOVL1
chr1:clu_114_-	Success	0.0735197281503872	1	0.701380767862898	0.860591977797719	ELOVL1
chr1:clu_115_-	Success	0.734529018095486	1	0.225494373184964	0.591846521032807	SLC6A9
chr1:clu_116_-	Success	3.45146758198581	2	0.0316990812240999	0.325691328736671	HECTD3
chr1:clu_117_-	Success	1.86422074319626	4	0.444002794820199	0.733392106255948	MUTYH
chr1:clu_118_-	Not enough valid samples	NA	NA	NA	NA	MUTYH
chr1:clu_119_-	Success	4.17088386850091	1	0.00387438821046387	0.203799603331336	GPBP1L1
chr1:clu_12_-	Success	2.04389667431951	2	0.129523017241525	0.503902849077665	NADK
chr1:clu_120_-	Success	3.34241119278209	2	0.0353516153147659	0.341803019533927	MKNK1
chr1:clu_121_-	Success	0.0673077300038329	1	0.713693763928354	0.866795315753136	MKNK1
chr1:clu_122_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MKNK1
chr1:clu_123_-	Success	0.209138250569822	2	0.811283067543563	0.914417287843527	ATPAF1
chr1:clu_124_-	Success	0.0511523535416814	1	0.749081231153409	0.885541765510813	EFCAB14
chr1:clu_125_-	Success	0.590556370152797	2	0.554018959357872	0.790220419225809	EFCAB14
chr1:clu_126_-	Success	0.840111148834694	2	0.431662541974066	0.726669961266476	PDZK1IP1
chr1:clu_127_-	Not enough valid samples	NA	NA	NA	NA	TAL1
chr1:clu_128_-	Not enough valid samples	NA	NA	NA	NA	STIL
chr1:clu_129_-	Not enough valid samples	NA	NA	NA	NA	STIL
chr1:clu_13_-	Success	1.14026305683979	2	0.319734902299714	0.666357955961484	NADK
chr1:clu_130_-	Success	1.18826210769193	1	0.123171325932645	0.499232616736966	EPS15
chr1:clu_131_-	Success	0.663287048546408	2	0.51515520821583	0.772775447270238	NRDC
chr1:clu_132_-	Success	0.305895505623766	2	0.736463571737037	0.878285002462547	NRDC
chr1:clu_133_-	Success	2.59858824492295	2	0.0743785083658781	0.426017747447752	NRDC
chr1:clu_134_-	Success	2.72147119055273	2	0.0657779113647931	0.41317296166169	NRDC
chr1:clu_135_-	Success	1.26689325871541	1	0.111432525243235	0.47969992543404	NRDC
chr1:clu_136_-	Success	0.0856555299344279	1	0.67894924619849	0.846951002415294	NRDC
chr1:clu_137_-	Success	1.03876199131673	3	0.556473180516263	0.790591071535942	NRDC
chr1:clu_138_-	Success	0.35505614851354	2	0.701134074467261	0.860591977797719	ORC1
chr1:clu_139_-	Success	0.794819651750458	2	0.451662684152229	0.736472166086232	ORC1
chr1:clu_14_-	Success	0.333673524656533	1	0.413978078202777	0.716931668783286	GNB1
chr1:clu_140_-	Not enough valid samples	NA	NA	NA	NA	ZCCHC11
chr1:clu_141_-	Not enough valid samples	NA	NA	NA	NA	ZCCHC11
chr1:clu_142_-	Success	1.78633669848921	2	0.16757291676226	0.544589660228974	MAGOH
chr1:clu_143_-	Success	0.758396285915637	2	0.468417031962682	0.747997701501459	NDC1
chr1:clu_144_-	Success	1.4095317316922	2	0.244257634486964	0.604124419033086	YIPF1
chr1:clu_145_-	Not enough valid samples	NA	NA	NA	NA	YIPF1
chr1:clu_146_-	Success	0.174399598950004	1	0.554793663318827	0.790438741742084	TMEM59
chr1:clu_147_-	Success	0.0351421762829887	2	0.965468139827607	0.985009767703301	SSBP3
chr1:clu_148_-	Success	3.1300117484208	1	0.012349256580331	0.264317421543926	SSBP3
chr1:clu_149_-	Success	1.12407492736912	2	0.32495293342549	0.668894128201346	USP24
chr1:clu_15_-	Success	0.67286936311757	2	0.510242404564128	0.771179055461146	GNB1
chr1:clu_150_-	Success	0.383948362888034	1	0.380868504494862	0.697774016036853	USP24
chr1:clu_151_-	Not enough valid samples	NA	NA	NA	NA	MYSM1
chr1:clu_152_-	Success	5.7870289638889	1	0.000668783098281793	0.0900590744006173	ITGB3BP
chr1:clu_153_-	Not enough valid samples	NA	NA	NA	NA	ITGB3BP
chr1:clu_154_-	Success	0.235062353929493	1	0.492929802698168	0.761753459213115	JAK1
chr1:clu_155_-	Not enough valid samples	NA	NA	NA	NA	SLC35D1
chr1:clu_156_-	Not enough valid samples	NA	NA	NA	NA	WLS
chr1:clu_157_-	Success	1.25436805151071	3	0.473714342593091	0.751726518784076	ZRANB2
chr1:clu_158_-	Success	2.30507081505402	2	0.099751736478889	0.472524985370567	ZRANB2
chr1:clu_159_-	Not enough valid samples	NA	NA	NA	NA	USP33
chr1:clu_16_-	Success	0.129358653400232	2	0.878658775069572	0.94533012929126	GNB1
chr1:clu_160_-	Success	1.67301455121435	1	0.0673673412861272	0.414282688751046	FUBP1
chr1:clu_161_-	Success	0.937063346389095	2	0.391776660026185	0.70600816134704	FUBP1
chr1:clu_162_-	Not enough valid samples	NA	NA	NA	NA	CTBS
chr1:clu_163_-	Not enough valid samples	NA	NA	NA	NA	CTBS
chr1:clu_164_-	Not enough valid samples	NA	NA	NA	NA	SSX2IP
chr1:clu_165_-	Success	0.00525449266901035	1	0.918349223062987	0.963452800953893	BCL10
chr1:clu_166_-	Success	2.02923332088676	2	0.131436251958554	0.5061623339313	SELENOF
chr1:clu_167_-	Not enough valid samples	NA	NA	NA	NA	KYAT3
chr1:clu_168_-	Not enough valid samples	NA	NA	NA	NA	KYAT3,RBMXL1
chr1:clu_169_-	Success	2.2601305475921	1	0.0334957192935459	0.335507204746518	GBP3
chr1:clu_17_-	Not enough valid samples	NA	NA	NA	NA	FAAP20
chr1:clu_170_-	Not enough valid samples	NA	NA	NA	NA	GBP3
chr1:clu_171_-	Success	5.27013298778911e-07	1	0.999180845596453	0.999959154947173	GBP2
chr1:clu_172_-	Success	0.00258841769303331	1	0.942641517008219	0.973368514890555	GBP2
chr1:clu_173_-	Not enough valid samples	NA	NA	NA	NA	GBP2
chr1:clu_174_-	Not enough valid samples	NA	NA	NA	NA	GBP5
chr1:clu_175_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GBP5
chr1:clu_176_-	Not enough valid samples	NA	NA	NA	NA	GLMN
chr1:clu_177_-	Not enough valid samples	NA	NA	NA	NA	EVI5
chr1:clu_178_-	Success	1.55936282759214	1	0.077397290249183	0.430440111363599	TMED5
chr1:clu_179_-	Success	1.32267864391554	3	0.4495932565396	0.73560529728927	TMED5
chr1:clu_18_-	Not enough valid samples	NA	NA	NA	NA	PANK4
chr1:clu_180_-	Success	0.76124965621807	2	0.467082369762806	0.747429815202812	DPYD
chr1:clu_181_-	Success	0.70808618974479	2	0.492586012107782	0.761753459213115	DPYD
chr1:clu_182_-	Success	0.481946301926769	2	0.617580223742386	0.817898255499034	DPYD
chr1:clu_183_-	Success	1.1829704117763	3	0.500006215356837	0.766919264188259	DPYD
chr1:clu_184_-	Not enough valid samples	NA	NA	NA	NA	DPH5
chr1:clu_185_-	Success	0.434498929722622	2	0.647589073432708	0.833219436393064	VAV3
chr1:clu_186_-	Success	0.241897390069795	1	0.486708446585914	0.759358633114762	VAV3
chr1:clu_187_-	Not enough valid samples	NA	NA	NA	NA	WDR47
chr1:clu_188_-	Not enough valid samples	NA	NA	NA	NA	SORT1
chr1:clu_189_-	Success	0.293693610460892	1	0.443431246402777	0.732844920904075	LAMTOR5
chr1:clu_19_-	Not enough valid samples	NA	NA	NA	NA	RERE
chr1:clu_190_-	Success	1.52749814138195	1	0.0804891792406742	0.436490421314946	DRAM2
chr1:clu_191_-	Success	0.359799477507636	1	0.396275490680965	0.708814288152188	PHTF1
chr1:clu_192_-	Success	0.548264387110521	2	0.577952041398913	0.800907388148285	PTPN22
chr1:clu_193_-	Not enough valid samples	NA	NA	NA	NA	PTPN22
chr1:clu_194_-	Success	2.3070391213646	2	0.099555587610342	0.472524985370567	TRIM33
chr1:clu_195_-	Success	0.628335593423799	2	0.533478988418394	0.783037494699337	TRIM33
chr1:clu_196_-	Success	1.95732864241904	2	0.141235207172952	0.517048331729104	TRIM33
chr1:clu_197_-	Success	1.84748300801289	2	0.15763342948773	0.534355638617009	TRIM33
chr1:clu_198_-	Success	3.96083902000203	2	0.0190471266653271	0.293573894647785	BCAS2
chr1:clu_199_-	Success	0.0168103967753268	2	0.983330109520655	0.992609486650727	CSDE1
chr1:clu_2_-	Success	1.05614805838752	1	0.146119928626781	0.521429116692121	NOC2L
chr1:clu_20_-	Success	0.70212507921363	1	0.23601324983047	0.599384754473167	RERE
chr1:clu_200_-	Success	0.49963100722016	2	0.606754506443193	0.813080074891215	CSDE1
chr1:clu_201_-	Success	0.299120215557309	2	0.741470267815539	0.880696858250957	CSDE1
chr1:clu_202_-	Success	1.06297374101814	2	0.345427070836427	0.678179958835599	TSPAN2
chr1:clu_203_-	Not enough valid samples	NA	NA	NA	NA	NBPF7
chr1:clu_204_-	Success	2.33128999838164	2	0.0971703166531713	0.470082169351736	NOTCH2
chr1:clu_205_-	Success	1.42461276602671	2	0.240601614290628	0.601472671376015	NOTCH2
chr1:clu_206_-	Success	0.719816967977579	2	0.486841355363571	0.759358633114762	SEC22B
chr1:clu_207_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NBPF15
chr1:clu_208_-	Success	1.51341840397015	2	0.220156107664392	0.586954657671676	RNF115
chr1:clu_209_-	Success	0.650560674303506	4	0.86118524948348	0.937407213035194	RNF115
chr1:clu_21_-	Not enough valid samples	NA	NA	NA	NA	DFFA
chr1:clu_210_-	Success	2.02628682210684	3	0.255842801659872	0.615676858114803	RBM8A
chr1:clu_211_-	Not enough valid samples	NA	NA	NA	NA	NBPF10,RP11-458D21.5
chr1:clu_212_-	Not enough valid samples	NA	NA	NA	NA	NBPF10,RP11-458D21.5
chr1:clu_213_-	Success	1.03621212972601	1	0.149982949558916	0.523995413693806	NBPF10,RP11-458D21.5
chr1:clu_214_-	Success	0.664543958494278	2	0.514508111266415	0.772318982153386	NBPF14
chr1:clu_215_-	Success	0.992375649915061	1	0.158890760784136	0.535975779073962	NBPF14
chr1:clu_216_-	Not enough valid samples	NA	NA	NA	NA	NBPF14
chr1:clu_217_-	Success	1.98272578891738	3	0.265218982764107	0.622723554603947	NBPF14
chr1:clu_218_-	Success	2.67125403398131	4	0.253923882607671	0.613742689921565	ANP32E
chr1:clu_219_-	Success	2.55283040206382	2	0.0778609759606623	0.430835204865609	ANP32E
chr1:clu_22_-	Success	0.00432343937717405	1	0.925912622029737	0.967042262483879	EXOSC10
chr1:clu_220_-	Success	0.411694115163755	2	0.662526901993365	0.840857122469546	MCL1
chr1:clu_221_-	Not enough valid samples	NA	NA	NA	NA	ENSA
chr1:clu_222_-	Success	4.47016897715321	2	0.0114453816790814	0.258831657106915	CTSS
chr1:clu_223_-	Success	1.91412038727913	2	0.147471493353692	0.521429116692121	ARNT
chr1:clu_224_-	Success	2.58839395908581	2	0.0751406221430288	0.427561732809998	ARNT
chr1:clu_225_-	Success	1.13025533952782	2	0.322950783792797	0.66802298444763	CERS2
chr1:clu_226_-	Success	3.95718623365246	6	0.244443980193128	0.604124419033086	CDC42SE1
chr1:clu_227_-	Success	2.54669767989196	2	0.0783399428786048	0.430835204865609	PI4KB
chr1:clu_228_-	Success	0.079338815180904	2	0.923726898722851	0.96627076362535	RFX5
chr1:clu_229_-	Success	2.06685794685836	2	0.126582887674202	0.502124226032332	SELENBP1
chr1:clu_23_-	Success	0.166062602955918	2	0.846993208251148	0.931477699116948	EXOSC10
chr1:clu_230_-	Success	0.566109981037954	1	0.287302311912318	0.640430046175862	SELENBP1
chr1:clu_231_-	Success	1.4896111540213	2	0.225460307830769	0.591846521032807	POGZ
chr1:clu_232_-	Success	0.875148436067775	2	0.416800146911691	0.71963795532446	POGZ
chr1:clu_233_-	Success	0.207397692464951	2	0.812696382483699	0.914417287843527	MRPL9
chr1:clu_234_-	Success	0.680081183680272	1	0.243509343895603	0.604124419033086	S100A8
chr1:clu_235_-	Success	1.23918544934941	2	0.289620032070283	0.641963007132531	S100A8
chr1:clu_236_-	Success	0.352865045269027	1	0.400864973175235	0.710214433677053	S100A6
chr1:clu_237_-	Success	6.28318996364987	4	0.0136008768290402	0.273242145884127	ILF2
chr1:clu_238_-	Success	2.6328112929541	2	0.0718761131303131	0.422678764553973	ILF2
chr1:clu_239_-	Success	4.58883672067952	2	0.010164675855743	0.250863768624257	DENND4B
chr1:clu_24_-	Not enough valid samples	NA	NA	NA	NA	MTOR
chr1:clu_240_-	Success	0.128588513782404	1	0.612066241738319	0.815516997538556	CRTC2
chr1:clu_241_-	Success	3.19059710184047	6	0.381869607494264	0.697811821890778	TPM3
chr1:clu_242_-	Success	2.16683784523536	1	0.0373654727818316	0.346064341892558	TPM3
chr1:clu_243_-	Success	6.09551480805567	5	0.0322619456240404	0.329093425261951	TPM3
chr1:clu_244_-	Success	2.29254162541906	2	0.101009407246977	0.472524985370567	TPM3
chr1:clu_245_-	Success	0.510550834167702	2	0.600164896413845	0.811552596195714	C1orf43
chr1:clu_246_-	Success	1.25608970727035	2	0.284765368196938	0.638447275069607	C1orf43
